央视,#genre#
CCTV-4K,http://159.75.85.63:5679/cctv4k.php
CCTV-16 奥林匹克4K,https://live.v1.mk/aishang/cctv164k
CCTV-1 综合,https://live.v1.mk/aishang/cctv1hd
CCTV-2 财经,https://live.v1.mk/aishang/cctv2hd
CCTV-3 综艺,https://live.v1.mk/aishang/cctv3hd
CCTV-4 中文国际,https://live.v1.mk/aishang/cctv4hd
CCTV-5 体育,https://live.v1.mk/aishang/cctv5hd
CCTV-5+ 体育赛事,https://live.v1.mk/aishang/cctv5p
CCTV-6 电影,https://live.v1.mk/aishang/cctv6hd
CCTV-7 国防军事,https://live.v1.mk/aishang/cctv7hd
CCTV-8 电视剧,https://live.v1.mk/aishang/cctv8hd
CCTV-9 纪录,https://live.v1.mk/aishang/cctv9hd2
CCTV-10 科教,https://live.v1.mk/aishang/cctv10hd
CCTV-11 戏曲,https://live.v1.mk/aishang/cctv11hd
CCTV-12 社会与法,https://live.v1.mk/aishang/cctv12hd
CCTV-13 新闻,https://live.v1.mk/aishang/cctv13hd
CCTV-14 少儿,https://live.v1.mk/aishang/cctv14hd
CCTV-15 音乐,https://live.v1.mk/aishang/cctv15hd
CCTV-16 奥林匹克,https://live.v1.mk/aishang/cctv16hd
CCTV-17 农业农村,https://live.v1.mk/aishang/cctv17hd
卫视,#genre#
湖南卫视,https://live.v1.mk/aishang/hunwshd
浙江卫视,https://live.v1.mk/aishang/zjwshd
东方卫视,https://live.v1.mk/aishang/dfwshd
江苏卫视,https://live.v1.mk/aishang/jswshd
北京卫视,https://live.v1.mk/aishang/bjwshd
深圳卫视,https://live.v1.mk/aishang/szwshd
山东卫视,https://live.v1.mk/aishang/sdwshd
广东卫视,https://live.v1.mk/aishang/gdwshd
安徽卫视,https://live.v1.mk/aishang/ahwshd
东南卫视,https://live.v1.mk/aishang/dnwshd
天津卫视,https://live.v1.mk/aishang/tjwshd
重庆卫视,https://live.v1.mk/aishang/cqws
湖北卫视,https://live.v1.mk/aishang/hubwshd
四川卫视,https://live.v1.mk/aishang/scws
河南卫视,https://live.v1.mk/aishang/hnws
